table_name,Condition,n,extract,verdict,cert,full,not_extractable,verdict_wrong,certificate_invalid,correct,gold_verdict,certificate_type,failure_category,count,percentage,comparison,first_condition,second_condition,shared_items,item_id_alignment,both_correct,first_only_correct,second_only_correct,both_incorrect,mcnemar_p_value,full_diff_point,full_diff_ci_low,full_diff_ci_high,cert_diff_point,cert_diff_ci_low,cert_diff_ci_high
overall,R1,100,1.0,1.0,0.46,0.46,0,0,54,46,,,,,,,,,,,,,,,,,,,,,
overall,Oracle+Format,100,1.0,1.0,0.34,0.34,0,0,66,34,,,,,,,,,,,,,,,,,,,,,
overall,R2A,100,1.0,1.0,0.49,0.49,0,0,51,49,,,,,,,,,,,,,,,,,,,,,
overall,R2B,100,1.0,1.0,0.48,0.48,0,0,52,48,,,,,,,,,,,,,,,,,,,,,
overall,R2C,100,0.99,1.0,0.99,0.99,1,0,0,99,,,,,,,,,,,,,,,,,,,,,
overall,Frozen R2,100,0.99,1.0,0.99,0.99,1,0,0,99,,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R1,51,,,0.0,0.0,,,51,,equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R1,49,,,0.939,0.939,,,3,,non_equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,Oracle+Format,51,,,0.0,0.0,,,51,,equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,Oracle+Format,49,,,0.694,0.694,,,15,,non_equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R2A,51,,,0.0,0.0,,,51,,equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R2A,49,,,1.0,1.0,,,0,,non_equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R2B,51,,,0.0,0.0,,,51,,equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R2B,49,,,0.98,0.98,,,1,,non_equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R2C,51,,,0.98,0.98,,,0,,equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,R2C,49,,,1.0,1.0,,,0,,non_equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,Frozen R2,51,,,0.98,0.98,,,0,,equivalent,,,,,,,,,,,,,,,,,,,,
by_gold_verdict,Frozen R2,49,,,1.0,1.0,,,0,,non_equivalent,,,,,,,,,,,,,,,,,,,,
by_certificate_type,R1,51,,,0.0,0.0,,,51,,,equivalence_witness,,,,,,,,,,,,,,,,,,,
by_certificate_type,R1,49,,,0.939,0.939,,,3,,,distinguishing_trace,,,,,,,,,,,,,,,,,,,
by_certificate_type,Oracle+Format,51,,,0.0,0.0,,,51,,,equivalence_witness,,,,,,,,,,,,,,,,,,,
by_certificate_type,Oracle+Format,49,,,0.694,0.694,,,15,,,distinguishing_trace,,,,,,,,,,,,,,,,,,,
by_certificate_type,R2A,51,,,0.0,0.0,,,51,,,equivalence_witness,,,,,,,,,,,,,,,,,,,
